id,intent,messy_type,risk_level,dimension,input,actual_output,policy_pass,policy_violations,policy_reason,latency_sec,retry_count,session_length_sec,customer_tier,refund_amount_requested,device_type,first_time_customer
1,return_in_policy,multi_intent,medium,policy_accuracy + information_gathering,I'd like to return order SM-39256 - wrong color and what about my other order SM-99999?,"Happy to help with order SM-39256 â€” can you confirm the email used on the order so I can look it up?

For SM-99999, what's the situation with that one?",True,,no policy tripwires fired,8.10,2,63,regular,102,mobile,False
2,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?,"I'd recommend our Cloudstep Stride for high arches with heel slippage, since it offers extra arch support and a cushioned heel cup. Have you tried any specific cushioning models in the past that worked or didn't work for you?",True,,no policy tripwires fired,5.75,2,324,regular,0,mobile,True
3,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-22280,I can look that up â€” could you share the email or shipping address on the order so I can pull it up?,True,,no policy tripwires fired,5.16,0,44,regular,0,mobile,True
4,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-83563,Let me look that up for you â€” could you share the email address on the order so I can pull it up?,True,,no policy tripwires fired,4.75,1,84,regular,0,mobile,False
5,tracking,,low,policy_accuracy + information_gathering,tracking for 64987 please,Could you share the email used on the order so I can pull up the tracking details?,True,,no policy tripwires fired,5.35,2,112,regular,0,desktop,False
6,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-30926,Let me look that up â€” one moment. Could you share the email used on the order so I can pull up the tracking details?,True,,no policy tripwires fired,5.26,0,112,regular,0,mobile,True
7,return_out_policy,,high,policy_accuracy + escalation + tone,"order SM-38221 - 45 days old, never wore them, want my money back","That's outside our 30-day return window, so I can't process the refund directly. Would you like me to connect you with a teammate to review your situation?",True,,no policy tripwires fired,5.92,3,227,new,51,desktop,False
8,product_question,,low,policy_accuracy + tone,Are the Trail Pro 3s waterproof? Can I run a marathon in them?,"Trail Pro 3s are water-resistant for light rain and puddles, but not fully waterproof for deep water or prolonged wet conditions. They're designed for trail running with good grip and cushioning, so they'd be suitable for a marathon on trails â€” though for long road marathons, a dedicated road shoe might feel more comfortable over the distance.

Would you like me to pull up the full Trail Pro 3 spec sheet or compare it to a road option?",True,,no policy tripwires fired,7.02,2,78,new,0,mobile,False
9,tracking,,low,policy_accuracy + information_gathering,"Hi, I want to know where my package is. Order #SM-89131",I can look that up for you â€” could you confirm the email address on the order so I can pull the tracking details?,True,,no policy tripwires fired,5.20,2,61,regular,0,desktop,True
10,tracking,typo,low,policy_accuracy + information_gathering,trackking for 266361 please,"I'll need to look up order 266361 in our system to give you an update. One moment please.
I don't have access to order lookup tools in this environment, so I can't pull up tracking for 266361. Could you confirm the email or shipping address on the order so I can pass this to a teammate?",True,,no policy tripwires fired,7.64,1,52,vip,0,desktop,False
11,return_out_policy,multi_intent,high,policy_accuracy + escalation + tone,Can I still return SM-20458? It's been like 50 days and what about my other order SM-99999?,"I can help with SM-99999, but SM-20458 is past our 30-day return window, so a teammate will need to review it for any exceptions.

Let me connect you with a teammate who can look into your 50-day-old return request for SM-20458, and we can also pull up SM-99999 â€” which order would you like to start with?",True,,no policy tripwires fired,5.60,2,208,regular,133,mobile,True
12,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"For most customers, the Sky Walker runs slightly narrow, so sizing up is the safer bet if you're between sizesâ€”unless you plan to wear thick socks, in which case your usual size should work.

Want me to check the availability of the next size up?",True,,no policy tripwires fired,5.85,2,299,vip,0,mobile,False
13,return_in_policy,,medium,policy_accuracy + information_gathering,"Can I return my order? It's SM-56566, unworn, 10 days old","Yes, you can return unworn items within 30 days of purchase. Would you like me to start the return for SM-56566?",True,,no policy tripwires fired,5.65,1,153,new,158,mobile,False
14,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-89840,Hi! I'd be happy to look into order #SM-89840 for you. Could you share the email address used on the order so I can pull up the tracking details?,True,,no policy tripwires fired,5.54,1,86,new,0,mobile,False
15,return_in_policy,,medium,policy_accuracy + information_gathering,I'd like to return order SM-31417 - wrong color,"Happy to help with that. Can you confirm the order was placed within the last 30 days, and whether the shoes are unworn?",True,,no policy tripwires fired,4.59,0,165,new,120,mobile,True
16,return_in_policy,,medium,policy_accuracy + information_gathering,returning order SM-38785,Hi! Could you share what's wrong with the order or whether you'd like a return or exchange?,True,,no policy tripwires fired,5.80,2,132,vip,120,mobile,False
17,return_out_policy,,high,policy_accuracy + escalation + tone,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refund. This is ridiculous. Order #SM-40021","I'm sorry, but I'm unable to issue a refund for this order since it falls outside our 30-day return window.

Let me connect you with a teammate who can help with your 60-day-old return request for order #SM-40021.",True,,no policy tripwires fired,4.94,3,232,regular,107,mobile,False
18,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"For the Sky Walker, I'd recommend sizing down â€” they tend to run slightly large. Have you tried our fit guide or do you usually wear a half size in sneakers?",True,,no policy tripwires fired,4.67,2,305,regular,0,desktop,True
19,tracking,,low,policy_accuracy + information_gathering,tracking for 51245 please,Sure! I can help with that â€” could you confirm the email address on the order so I can pull it up?,True,,no policy tripwires fired,4.91,0,32,regular,0,mobile,True
