timestamp,latency_ms,tokens_input,tokens_output,cost_usd,quality_score,error
2026-08-02T00:00:00,742,613,145,0.01048,3,False
2026-08-02T00:01:00,730,1435,399,0.02632,4,False
2026-08-02T00:02:00,713,497,139,0.00914,3,True
2026-08-02T00:03:00,846,457,386,0.01615,4,False
2026-08-02T00:04:00,3495,1707,465,0.03102,1,False
2026-08-02T00:05:00,1324,1479,236,0.02187,3,False
2026-08-02T00:06:00,3147,239,214,0.00881,2,False
2026-08-02T00:07:00,703,1286,155,0.01751,4,False
2026-08-02T00:08:00,50,825,60,0.01005,4,False
2026-08-02T00:09:00,557,1316,473,0.02735,4,False
2026-08-02T00:10:00,765,516,415,0.01761,3,False
2026-08-02T00:11:00,682,526,463,0.01915,2,False
2026-08-02T00:12:00,549,808,201,0.01411,1,False
2026-08-02T00:13:00,513,1968,369,0.03075,4,False
2026-08-02T00:14:00,1107,384,256,0.01152,3,False
2026-08-02T00:15:00,1368,1360,372,0.02476,4,False
2026-08-02T00:16:00,1181,519,440,0.01839,1,False
2026-08-02T00:17:00,222,598,53,0.00757,3,False
2026-08-02T00:18:00,1047,1392,275,0.02217,3,False
2026-08-02T00:19:00,556,989,93,0.01268,3,False
2026-08-02T00:20:00,510,1247,239,0.01964,4,False
2026-08-02T00:21:00,682,499,90,0.00769,3,False
2026-08-02T00:22:00,984,1335,101,0.01638,4,False
2026-08-02T00:23:00,3962,180,217,0.00831,3,False
2026-08-02T00:24:00,50,1812,25,0.01887,4,False
2026-08-02T00:25:00,606,1862,294,0.02744,4,False
2026-08-02T00:26:00,621,373,252,0.01129,1,False
2026-08-02T00:27:00,1081,1523,154,0.01985,5,False
2026-08-02T00:28:00,610,1330,172,0.01846,4,False
2026-08-02T00:29:00,790,457,98,0.00751,3,False
2026-08-02T00:30:00,1666,1931,20,0.01991,4,False
2026-08-02T00:31:00,539,279,495,0.01764,3,False
2026-08-02T00:32:00,903,543,469,0.0195,4,False
2026-08-02T00:33:00,522,1548,268,0.02352,1,False
2026-08-02T00:34:00,596,1401,263,0.0219,5,False
2026-08-02T00:35:00,757,1130,466,0.02528,4,False
2026-08-02T00:36:00,1405,1462,122,0.01828,4,False
2026-08-02T00:37:00,510,1425,352,0.02481,3,False
2026-08-02T00:38:00,511,181,193,0.0076,1,False
2026-08-02T00:39:00,890,1255,132,0.01651,1,False
2026-08-02T00:40:00,939,114,460,0.01494,3,True
2026-08-02T00:41:00,854,620,362,0.01706,3,False
2026-08-02T00:42:00,662,1230,262,0.02016,3,True
2026-08-02T00:43:00,50,883,117,0.01234,2,False
2026-08-02T00:44:00,549,1819,393,0.02998,2,True
2026-08-02T00:45:00,1126,1373,70,0.01583,2,False
2026-08-02T00:46:00,860,442,117,0.00793,3,True
2026-08-02T00:47:00,4911,425,162,0.00911,3,False
2026-08-02T00:48:00,1446,1803,301,0.02706,2,True
2026-08-02T00:49:00,1131,1157,448,0.02501,1,False
2026-08-02T00:50:00,806,882,268,0.01686,3,False
2026-08-02T00:51:00,506,1898,50,0.02048,3,True
2026-08-02T00:52:00,94,1657,252,0.02413,3,False
2026-08-02T00:53:00,1380,1546,421,0.02809,4,False
2026-08-02T00:54:00,988,169,316,0.01117,4,False
2026-08-02T00:55:00,1077,692,49,0.00839,2,False
2026-08-02T00:56:00,1230,166,280,0.01006,2,False
2026-08-02T00:57:00,561,1268,54,0.0143,4,False
2026-08-02T00:58:00,1413,554,316,0.01502,4,False
2026-08-02T00:59:00,1375,908,356,0.01976,4,False
2026-08-02T01:00:00,1047,1516,180,0.02056,3,False
2026-08-02T01:01:00,692,1425,350,0.02475,3,False
2026-08-02T01:02:00,801,988,338,0.02002,5,False
2026-08-02T01:03:00,644,200,295,0.01085,3,False
2026-08-02T01:04:00,1553,1850,145,0.02285,1,False
2026-08-02T01:05:00,464,1757,298,0.02651,4,False
2026-08-02T01:06:00,1380,66,361,0.01149,4,False
2026-08-02T01:07:00,753,1408,73,0.01627,4,False
2026-08-02T01:08:00,942,1183,99,0.0148,3,False
2026-08-02T01:09:00,926,1519,195,0.02104,3,False
2026-08-02T01:10:00,759,1904,484,0.03356,4,False
2026-08-02T01:11:00,4172,917,444,0.02249,3,True
2026-08-02T01:12:00,875,586,102,0.00892,4,False
2026-08-02T01:13:00,235,925,307,0.01846,1,False
2026-08-02T01:14:00,1442,1167,38,0.01281,4,False
2026-08-02T01:15:00,219,353,240,0.01073,2,False
2026-08-02T01:16:00,1374,1812,40,0.01932,4,False
2026-08-02T01:17:00,377,561,361,0.01644,2,False
2026-08-02T01:18:00,1104,1321,403,0.0253,3,False
2026-08-02T01:19:00,528,1820,103,0.02129,5,False
