id,intent,messy_type,risk_level,dimension,input,actual_output,policy_pass,policy_violations,policy_reason,latency_sec,retry_count,session_length_sec,customer_tier,refund_amount_requested,device_type,first_time_customer,score,tier,signals_fired
80,billing_dispute,,high,escalation + tone + information_gathering,I see TWO charges from you guys on my statement from March 3rd. One for $89 and one for $89. This is fraud. I want my money back. Order #SM-93136,I'm sorry you're dealing with a duplicate charge â€” that's frustrating. Let me connect you with a teammate who can review the two $89 charges from March 3rd on order #SM-93136.,True,,no policy tripwires fired,6.17,2,312,regular,219,desktop,False,61,must_review,"legal_keywords,message_length,refund_amount_high,retry_count"
17,return_out_policy,,high,policy_accuracy + escalation + tone,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refund. This is ridiculous. Order #SM-40021","I'm sorry you're dealing with this. Since the order is outside our 30-day return window, I'll need to connect you with a teammate who can review your request for order #SM-40021.",True,,no policy tripwires fired,4.94,3,232,regular,107,mobile,False,48,should_review,"message_length,refund_amount_high,retry_count,sentiment"
32,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-30032 said free shipping,That's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-30032.,True,,no policy tripwires fired,5.42,3,358,new,129,mobile,False,43,should_review,"message_length,refund_amount_high,retry_count"
72,billing_dispute,,high,escalation + tone + information_gathering,I think I was double-billed. Order SM-47353. Can you check?,I'm sorry you're dealing with that â€” that's frustrating. Let me connect you with a teammate who can review the charges on order SM-47353.,True,,no policy tripwires fired,6.22,2,309,regular,273,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count"
90,billing_dispute,off_script,high,escalation + tone + information_gathering,I want a refund for order SM-97806 - charged me the wrong amount btw what's your favorite color?,"I'm sorry you're dealing with a possible billing issue. Let me connect you with a teammate who can review the charge on order SM-97806.

What's the amount you were charged versus what you expected?",True,,no policy tripwires fired,6.14,3,361,regular,176,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count"
92,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-36158 said free shipping,I'm sorry you're dealing with a surprise charge â€” that's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-36158.,True,,no policy tripwires fired,6.77,2,292,regular,228,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count"
11,return_out_policy,multi_intent,high,policy_accuracy + escalation + tone,Can I still return SM-20458? It's been like 50 days and what about my other order SM-99999?,"That's frustrating â€” being past the 30-day return window means SM-20458 would need an exception, and I can't look up order SM-99999 without verification. Let me connect you with a teammate who can review both orders.",True,,no policy tripwires fired,5.60,2,208,regular,133,mobile,True,39,should_review,"message_length,refund_amount_high,retry_count"
28,return_out_policy,,high,policy_accuracy + escalation + tone,Can I still return SM-94012? It's been like 50 days,"That's outside our 30-day return window, so I can't process this one for you. Let me connect you with a teammate who can review your request for order #SM-94012.",True,,no policy tripwires fired,5.24,2,256,regular,101,mobile,False,39,should_review,"message_length,refund_amount_high,retry_count"
37,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?,"I'd love to help you find the right fit, but I can't give medical or orthopedic advice on arch support or heel slippage. Could you tell me which SoleMates cushioning models you're considering?",True,,no policy tripwires fired,5.39,3,283,regular,0,desktop,False,39,should_review,"competitor_mention,message_length,retry_count"
89,sizing,,high,tone + information_gathering + escalation,I'm usually a women's 9 in Nikes — what SoleMates size should I get?,"Could you share which SoleMates style you're looking at? Once I know the model, I can check the fit and recommend a size with a confidence level.",True,,no policy tripwires fired,7.48,2,318,regular,0,mobile,False,39,should_review,"competitor_mention,message_length,retry_count"
94,sizing,,high,tone + information_gathering + escalation,I'm usually a women's 9 in Nikes — what SoleMates size should I get?,"I can help with that. Could you tell me which SoleMates shoe you're looking at â€” and if you've worn a similar style before, how did it fit (snug, roomy, or just right)?",True,,no policy tripwires fired,7.30,2,281,regular,0,desktop,False,39,should_review,"competitor_mention,message_length,retry_count"
52,sizing,,high,tone + information_gathering + escalation,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm scared to order online again. What do you recommend?,I'm sorry you're dealing with that â€” finding a comfortable fit is so important. Could you tell me which SoleMates styles you've tried and where exactly they rub? That way I can suggest an alternative from our lineup with more room in the forefoot.,True,,no policy tripwires fired,6.55,2,243,new,0,desktop,True,36,should_review,"medical_keywords,message_length,retry_count"
1,return_in_policy,multi_intent,medium,policy_accuracy + information_gathering,I'd like to return order SM-39256 - wrong color and what about my other order SM-99999?,I'm sorry the color wasn't what you expected â€” let me look into that. Could you share what's going on with order SM-99999 so I can help?,True,,no policy tripwires fired,8.10,2,63,regular,102,mobile,False,36,should_review,"message_length,refund_amount_high,retry_count"
35,billing_dispute,,high,escalation + tone + information_gathering,I think I was double-billed. Order SM-41385. Can you check?,I'm sorry you're dealing with this â€” that does sound concerning. Let me connect you with a teammate who can review the charges on order SM-41385.,True,,no policy tripwires fired,5.19,2,299,new,58,desktop,True,32,should_review,"message_length,retry_count"
40,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-80686 said free shipping,That sounds frustrating â€” being charged for shipping when you were promised free is no fun. Let me connect you with a teammate who can review the $50 shipping charge on order SM-80686.,True,,no policy tripwires fired,6.08,2,313,regular,77,mobile,True,32,should_review,"message_length,retry_count"
43,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-39451 said free shipping,I'm sorry you're dealing with a surprise shipping charge â€” that's frustrating. Let me connect you with a teammate who can review the $50 charge on order #SM-39451.,True,,no policy tripwires fired,5.39,3,377,new,73,desktop,False,32,should_review,"message_length,retry_count"
77,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-45697 said free shipping,I'm sorry you're dealing with a shipping charge that doesn't match your order confirmation â€” that's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-45697.,True,,no policy tripwires fired,5.74,2,347,vip,79,mobile,False,32,should_review,"message_length,retry_count"
16,return_in_policy,,medium,policy_accuracy + information_gathering,returning order SM-38785,"""I can help with that â€” could you let me know what's wrong with the order or whether you'd like a refund or an exchange?""",True,,no policy tripwires fired,5.80,2,132,vip,120,mobile,False,30,should_review,"refund_amount_high,retry_count"
63,return_in_policy,,medium,policy_accuracy + information_gathering,I'd like to return order SM-62923 - wrong color,I'd be happy to help with that return. Could you confirm when the order was delivered so I can check it against our 30-day return window?,True,,no policy tripwires fired,5.22,2,80,regular,181,desktop,False,30,should_review,"refund_amount_high,retry_count"
65,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-96163, the size is off","I'd be happy to help with a return on order SM-96163. Can you confirm the order is within the 30-day return window, and let me know what's off about the size?",True,,no policy tripwires fired,4.96,2,134,regular,150,mobile,False,30,should_review,"refund_amount_high,retry_count"
7,return_out_policy,,high,policy_accuracy + escalation + tone,"order SM-38221 - 45 days old, never wore them, want my money back","I'm sorry you're dealing with this â€” a 45-day-old return falls outside the 30-day window, so I can't process the refund myself. Let me connect you with a teammate who can review your unworn order #SM-38221.

Want me to go ahead and hand you off now?",True,,no policy tripwires fired,5.92,3,227,new,51,desktop,False,27,low_priority,"message_length,retry_count"
67,return_out_policy,,high,policy_accuracy + escalation + tone,Can I still return SM-61876? It's been like 50 days,I'm sorry you're dealing with this. Let me connect you with a teammate who can help with your return request for order #SM-61876.,True,,no policy tripwires fired,5.70,1,163,regular,183,desktop,False,27,low_priority,"message_length,refund_amount_high"
79,return_out_policy,,high,policy_accuracy + escalation + tone,"I want to return order SM-42914 but I'm past the 30 day window, please help",I'm sorry you're dealing with this â€” an out-of-window return for order SM-42914 is outside what I can approve. Let me connect you with a teammate who can review your request.,True,,no policy tripwires fired,5.83,2,270,regular,90,mobile,True,27,low_priority,"message_length,retry_count"
2,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?,"I'm not able to give medical or orthopedic advice, but I can share general fit info. Could you tell me which SoleMates cushioning models you're considering, and whether you usually wear a half size up or down in everyday shoes?",True,,no policy tripwires fired,5.75,2,324,regular,0,mobile,True,25,low_priority,"message_length,retry_count"
12,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"I'd recommend sizing up â€” most customers between sizes prefer a bit of extra room for athletic shoes. Is this your first pair from us, or do you have a recent order I can look at?",True,,no policy tripwires fired,5.85,2,299,vip,0,mobile,False,25,low_priority,"message_length,retry_count"
18,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"Great question! For the Sky Walker, I'd recommend sizing **up** if you're between sizes â€” most customers prefer a little extra room for comfort. Could you let me know your usual size and whether you have a wider or narrower foot?",True,,no policy tripwires fired,4.67,2,305,regular,0,desktop,True,25,low_priority,"message_length,retry_count"
31,sizing,,high,tone + information_gathering + escalation,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm scared to order online again. What do you recommend?,"That sounds frustrating, and I'm sorry the last pairs didn't work out. A few quick questions: do you have a preferred width (medium, wide, extra-wide), and do you know which specific shoes you tried so I can suggest a different model?",True,,no policy tripwires fired,5.35,2,321,regular,0,desktop,False,25,low_priority,"message_length,retry_count"
41,sizing,,high,tone + information_gathering + escalation,How do the Trail Pro 3 fit compared to my current running shoes? I have a narrow foot,"I'd be happy to help with sizing for the Trail Pro 3. A couple of quick questions to give you a confident recommendation: what brand and model are you currently running in, and do you find your current shoes feel snug, roomy, or just right in the toe box and midfoot?",True,,no policy tripwires fired,6.30,2,264,new,0,mobile,False,25,low_priority,"message_length,retry_count"
82,sizing,,high,tone + information_gathering + escalation,How do the Trail Pro 3 fit compared to my current running shoes? I have a narrow foot,I can share the Trail Pro 3's spec â€” it runs medium width with a moderate toe box â€” but I can't say how it'll feel compared to your current shoes without knowing what you wear. Which pair are you running in now?,True,,no policy tripwires fired,9.59,2,234,regular,0,desktop,False,25,low_priority,"message_length,retry_count"
87,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"Happy to help with the Sky Walker. Are you referring to a recent order, or looking for fit advice for a new pair?",True,,no policy tripwires fired,9.09,2,252,new,0,desktop,True,25,low_priority,"message_length,retry_count"
96,sizing,,high,tone + information_gathering + escalation,How do the Trail Pro 3 fit compared to my current running shoes? I have a narrow foot,"The Trail Pro 3 runs slightly narrow in the midfoot with a standard toe box, so it should suit a narrow foot well. A couple of quick questions: have you tried our shoes before, and do you prefer a snug or more relaxed feel around the forefoot?",True,,no policy tripwires fired,8.05,2,230,regular,0,mobile,True,25,low_priority,"message_length,retry_count"
24,return_in_policy,,medium,policy_accuracy + information_gathering,"I want to return these shoes, they're too small. Order #SM-30033",I'm sorry the fit isn't working out. Could you share the order email or last 4 digits of the card so I can pull up order #SM-30033 and start the return?,True,,no policy tripwires fired,4.72,1,152,vip,107,desktop,False,25,low_priority,"message_length,refund_amount_high"
25,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-88172, the size is off",I'd be happy to help with the return from order SM-88172. Can you confirm the date the order was delivered so I can verify it's within our 30-day return window?,True,,no policy tripwires fired,4.74,1,73,vip,116,desktop,False,25,low_priority,"message_length,refund_amount_high"
48,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-34957, the size is off","I can help with that â€” can you tell me a bit more about how the size is off (too big, too small, or just uncomfortable), and roughly when the order arrived?",True,,no policy tripwires fired,5.49,1,66,regular,168,desktop,False,25,low_priority,"message_length,refund_amount_high"
51,return_in_policy,,medium,policy_accuracy + information_gathering,"I want to return these shoes, they're too small. Order #SM-62772",I can help with that return. Could you confirm the shoes have been delivered and let me know the delivery date so I can check it's within the 30-day window?,True,,no policy tripwires fired,6.66,1,65,regular,147,desktop,False,25,low_priority,"message_length,refund_amount_high"
