id,intent,messy_type,risk_level,dimension,input
1,return_in_policy,multi_intent,medium,policy_accuracy + information_gathering,I'd like to return order SM-39256 - wrong color and what about my other order SM-99999?
2,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?
3,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-22280
4,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-83563
5,tracking,,low,policy_accuracy + information_gathering,tracking for 64987 please
6,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-30926
7,return_out_policy,,high,policy_accuracy + escalation + tone,"order SM-38221 - 45 days old, never wore them, want my money back"
8,product_question,,low,policy_accuracy + tone,Are the Trail Pro 3s waterproof? Can I run a marathon in them?
9,tracking,,low,policy_accuracy + information_gathering,"Hi, I want to know where my package is. Order #SM-89131"
10,tracking,typo,low,policy_accuracy + information_gathering,trackking for 266361 please
11,return_out_policy,multi_intent,high,policy_accuracy + escalation + tone,Can I still return SM-20458? It's been like 50 days and what about my other order SM-99999?
12,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?
13,return_in_policy,,medium,policy_accuracy + information_gathering,"Can I return my order? It's SM-56566, unworn, 10 days old"
14,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-89840
15,return_in_policy,,medium,policy_accuracy + information_gathering,I'd like to return order SM-31417 - wrong color
16,return_in_policy,,medium,policy_accuracy + information_gathering,returning order SM-38785
17,return_out_policy,,high,policy_accuracy + escalation + tone,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refund. This is ridiculous. Order #SM-40021"
18,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?
19,tracking,,low,policy_accuracy + information_gathering,tracking for 51245 please
20,tracking,,low,policy_accuracy + information_gathering,order SM-28726 - when will it arrive?
21,tracking,,low,policy_accuracy + information_gathering,tracking for 80644 please
22,tracking,,low,policy_accuracy + information_gathering,tracking for 62350 please
23,tracking,,low,policy_accuracy + information_gathering,Can you check the status of order SM-76784?
24,return_in_policy,,medium,policy_accuracy + information_gathering,"I want to return these shoes, they're too small. Order #SM-30033"
25,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-88172, the size is off"
26,tracking,,low,policy_accuracy + information_gathering,order SM-79352 - when will it arrive?
27,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-99166
28,return_out_policy,,high,policy_accuracy + escalation + tone,Can I still return SM-94012? It's been like 50 days
29,tracking,,low,policy_accuracy + information_gathering,Can you check the status of order SM-69470?
30,tracking,,low,policy_accuracy + information_gathering,"Hi, I want to know where my package is. Order #SM-75612"
31,sizing,,high,tone + information_gathering + escalation,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm scared to order online again. What do you recommend?
32,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-30032 said free shipping
33,tracking,,low,policy_accuracy + information_gathering,tracking for 10074 please
34,return_in_policy,,medium,policy_accuracy + information_gathering,"I want to return these shoes, they're too small. Order #SM-57576"
35,billing_dispute,,high,escalation + tone + information_gathering,I think I was double-billed. Order SM-41385. Can you check?
36,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-21226
37,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?
38,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?
39,product_question,,low,policy_accuracy + tone,What's the stack height on the Trail Pro 3?
40,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-80686 said free shipping
41,sizing,,high,tone + information_gathering + escalation,How do the Trail Pro 3 fit compared to my current running shoes? I have a narrow foot
