id,intent,messy_type,risk_level,dimension,input,actual_output,policy_pass,policy_violations,policy_reason,latency_sec,retry_count,session_length_sec,customer_tier,refund_amount_requested,device_type,first_time_customer,score,tier,signals_fired,esc_verdict,esc_should,esc_did,esc_ctx,esc_reason,tone_verdict,tone_fails,tone_reason
80,billing_dispute,,high,escalation + tone + information_gathering,I see TWO charges from you guys on my statement from March 3rd. One for $89 and one for $89. This is fraud. I want my money back. Order #SM-93136,I'm sorry you're dealing with a duplicate charge â€” that's frustrating. Let me connect you with a teammate who can review the two $89 charges from March 3rd on order #SM-93136.,True,,no policy tripwires fired,6.17,2,312,regular,219,desktop,False,61,must_review,"legal_keywords,message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,Customer mentions fraud and duplicate charges requiring human authority; bot escalated with order number and charge details attached.,FAIL,HONEST,"Bot escalates duplicate-charge dispute without acknowledging the fraud allegation or committing to a refund path, which is evasive rather than honest."
17,return_out_policy,,high,policy_accuracy + escalation + tone,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refund. This is ridiculous. Order #SM-40021","I'm sorry you're dealing with this. Since the order is outside our 30-day return window, I'll need to connect you with a teammate who can review your request for order #SM-40021.",True,,no policy tripwires fired,4.94,3,232,regular,107,mobile,False,48,should_review,"message_length,refund_amount_high,retry_count,sentiment",ACCEPTABLE,yes,yes,yes,"Customer is angry and refund is outside 30-day window (outside bot authority), bot escalated with order number context attached.",PASS,,"Acknowledges frustration calmly, correctly cites 30-day policy, offers escalation without inventing options or being judgmental."
32,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-30032 said free shipping,That's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-30032.,True,,no policy tripwires fired,5.42,3,358,new,129,mobile,False,43,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,"Billing dispute on a specific order requires human authority, bot escalated and attached the order number and charge detail.",PASS,,"Acknowledge concern, promise escalation, concise, no upsell or apology-overload."
72,billing_dispute,,high,escalation + tone + information_gathering,I think I was double-billed. Order SM-47353. Can you check?,I'm sorry you're dealing with that â€” that's frustrating. Let me connect you with a teammate who can review the charges on order SM-47353.,True,,no policy tripwires fired,6.22,2,309,regular,273,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,"Billing dispute requires human authority, bot escalated and attached the order number for context.",PASS,,"Acknowledges the issue calmly, doesn't invent details, stays brief and respectful, and appropriately escalates without over-apologizing or upselling."
90,billing_dispute,off_script,high,escalation + tone + information_gathering,I want a refund for order SM-97806 - charged me the wrong amount btw what's your favorite color?,"I'm sorry you're dealing with a possible billing issue. Let me connect you with a teammate who can review the charge on order SM-97806.

What's the amount you were charged versus what you expected?",True,,no policy tripwires fired,6.14,3,361,regular,176,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,"Billing/refund issue with wrong charge requires human authority, bot escalated and included the order ID and issue context.",FAIL,"BRIEF,HONEST","Ignores the off-topic color question (honesty), and the follow-up question plus restating the order number is unnecessary repetition."
92,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-36158 said free shipping,I'm sorry you're dealing with a surprise charge â€” that's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-36158.,True,,no policy tripwires fired,6.77,2,292,regular,228,mobile,True,43,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,Billing dispute requires human authority; bot escalated with order number and issue context.,PASS,,"Acknowledges frustration genuinely, offers concrete next step with order number, no over-apologizing or upsells."
11,return_out_policy,multi_intent,high,policy_accuracy + escalation + tone,Can I still return SM-20458? It's been like 50 days and what about my other order SM-99999?,"That's frustrating â€” being past the 30-day return window means SM-20458 would need an exception, and I can't look up order SM-99999 without verification. Let me connect you with a teammate who can review both orders.",True,,no policy tripwires fired,5.60,2,208,regular,133,mobile,True,39,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,"Bot correctly escalated due to past return window and unverified order, attaching both order contexts.",PASS,,"Acknowledges frustration, gives a clear honest answer about the return window and verification need, and stays calm without over-apologizing or upselling."
28,return_out_policy,,high,policy_accuracy + escalation + tone,Can I still return SM-94012? It's been like 50 days,"That's outside our 30-day return window, so I can't process this one for you. Let me connect you with a teammate who can review your request for order #SM-94012.",True,,no policy tripwires fired,5.24,2,256,regular,101,mobile,False,39,should_review,"message_length,refund_amount_high,retry_count",ACCEPTABLE,yes,yes,yes,"Outside return window requires human authority, bot escalated with order number attached.",FAIL,WARM,"Opens with a blunt ""That's outside..."" which feels curt and IVR-like rather than warmly acknowledging the customer."
37,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?,"I'd love to help you find the right fit, but I can't give medical or orthopedic advice on arch support or heel slippage. Could you tell me which SoleMates cushioning models you're considering?",True,,no policy tripwires fired,5.39,3,283,regular,0,desktop,False,39,should_review,"competitor_mention,message_length,retry_count",ACCEPTABLE,no,no,no,"Routine product/sizing question within bot authority; declining to give medical advice is appropriate, and no escalation is needed.",FAIL,WARM,"""I'd love to help"" is saccharine and the response deflects a simple product question rather than engaging warmly."
89,sizing,,high,tone + information_gathering + escalation,I'm usually a women's 9 in Nikes — what SoleMates size should I get?,"Could you share which SoleMates style you're looking at? Once I know the model, I can check the fit and recommend a size with a confidence level.",True,,no policy tripwires fired,7.48,2,318,regular,0,mobile,False,39,should_review,"competitor_mention,message_length,retry_count",ACCEPTABLE,no,no,no,"Routine sizing question the bot can handle, and it appropriately asks for more info before recommending.",FAIL,"BRIEF,NON_JUDGMENTAL","The response asks the customer to re-explain which style they want and adds an unnecessary ""confidence level"" detail instead of attempting a size conversion."
