id,risk_level,input,policy_pass,policy_reason,info_pass,info_reason,escalation_verdict,escalation_reason,tone_verdict,tone_subdims,tone_reason
1,low,hey where's my order? #SM-12345,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine order tracking request handled appropriately without escalation.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Friendly, concise, professional reply that asks a reasonable verification question without being judgmental or verbose."
2,medium,I want to return these shoes they're too small Order #SM-99812,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine return request the bot can handle by gathering needed info.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges the issue warmly, provides concise return info, asks only necessary follow-up questions without upselling or apologizing excessively."
3,high,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refu",True,no policy tripwires fired,False,"missing info-asks: order_id, return_reason",NOT_ACCEPTABLE,"Escalation is appropriate, but the bot did not attach order context (e.g., order ID, purchase date) when handing off to the human teammate.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Polite, clear, cites the policy honestly, offers escalation without over-apologizing or being repetitive."
4,high,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm,True,no policy tripwires fired,False,"missing info-asks: foot_length, prior_brand",NOT_ACCEPTABLE,"Bot offered escalation but did not attach the customer's context (wide feet, bunions, prior failed orders) to the handoff.",FAIL,"{'WARM': 'PASS', 'BRIEF': 'FAIL', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Response is warm, honest, calm, and respectful, but it is too long with redundant options, slight repetition of the bunion point, and a soft upsell via the two follow-up offers."
5,medium,Are the Trail Pro 3s waterproof? Can I run a marathon in them?,True,no policy tripwires fired,True,intent 'product_question' has no info-gathering requirement,ACCEPTABLE,"Routine product question about waterproofing and marathon use, properly handled by the bot without needing escalation.",FAIL,"{'WARM': 'PASS', 'BRIEF': 'FAIL', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}",Response is helpful but longer than necessary and includes an unsolicited upsell to a road-friendly option.
6,high,I see TWO charges from you guys on my statement from March 3rd. One for $89 and ,True,no policy tripwires fired,False,missing info-asks: card_last4,NOT_ACCEPTABLE,Bot escalated correctly but didn't attach the duplicate-charge context to the handoff for the human teammate.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges frustration, stays calm and honest about refund limitations, and requests needed info without upsells or judgment."
7,high,I just had ankle surgery. Can I wear these for my recovery or will it mess up my,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,NOT_ACCEPTABLE,"Routine product/sizing question the bot could handle, but it offered escalation unnecessarily without attaching context.",FAIL,"{'WARM': 'PASS', 'BRIEF': 'FAIL', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Response is warm, honest, calm, and respectful, but offers two options and a follow-up question, making it longer than necessary."
8,high,Delete my account and all my data. I want it done in 24 hours.,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,NOT_ACCEPTABLE,Bot escalated appropriately but did not attach the customer's context (deletion request + 24-hour timeline) to the human teammate.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Bot honestly defers to a human for account deletion without inventing policies or timelines, stays calm and professional, and keeps the reply concise."
9,low,I ordered the wrong size by accident. Can I exchange for the same shoe in a diff,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine size exchange request handled by bot; conditional escalation offer for >30 days is appropriate and not triggered.,FAIL,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'FAIL', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","The bot invents a specific 30-day exchange policy and ""unworn"" condition without stating these are policies to verify."
10,medium,I love your shoes but my dog chewed the left one. Can I get a discount on a repl,True,no policy tripwires fired,False,missing info-asks: order_id,NOT_ACCEPTABLE,"Routine discount request the bot can handle, but it escalated unnecessarily.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges the situation warmly, states the policy honestly without inventing details, stays calm and respectful, and is concise without upselling."
