id,intent,messy_type,risk_level,dimension,input,actual_output,policy_pass,policy_violations,policy_reason,latency_sec
1,return_in_policy,multi_intent,medium,policy_accuracy + information_gathering,I'd like to return order SM-39256 - wrong color and what about my other order SM-99999?,I'm sorry the color wasn't what you expected â€” let me look into that. Could you share what's going on with order SM-99999 so I can help?,True,,no policy tripwires fired,15.08
2,sizing,,high,tone + information_gathering + escalation,I have a high arch and my heel slips. Which cushioning model would work best?,"I'm not able to give medical or orthopedic advice, but I can share general fit info. Could you tell me which SoleMates cushioning models you're considering, and whether you usually wear a half size up or down in everyday shoes?",True,,no policy tripwires fired,5.11
3,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-22280,"""Pulling up order #SM-22280 now â€” do you have the email it was placed under so I can find it faster?""",True,,no policy tripwires fired,4.64
4,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-83563,Hi! Let me check the status of order #SM-83563 â€” could you share the email used on the order so I can pull it up?,True,,no policy tripwires fired,4.61
5,tracking,,low,policy_accuracy + information_gathering,tracking for 64987 please,I can look that up for you â€” could you confirm the email address on the order?,True,,no policy tripwires fired,5.13
6,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-30926,Hi! Let me pull up order #SM-30926 for you â€” could you confirm the email address on the account?,True,,no policy tripwires fired,4.23
7,return_out_policy,,high,policy_accuracy + escalation + tone,"order SM-38221 - 45 days old, never wore them, want my money back","I'm sorry you're dealing with this â€” a 45-day-old return falls outside the 30-day window, so I can't process the refund myself. Let me connect you with a teammate who can review your unworn order #SM-38221.

Want me to go ahead and hand you off now?",True,,no policy tripwires fired,5.48
8,product_question,,low,policy_accuracy + tone,Are the Trail Pro 3s waterproof? Can I run a marathon in them?,"The Trail Pro 3s are designed with a water-resistant mesh upper, but they're not fully waterproof â€” they can handle light rain and wet roads, not puddles or heavy downpours.

For a marathon, they're a neutral daily trainer with a 6mm drop and moderate cushioning, which works for many runners, but a half marathon might be a better test before committing to a full 26.2 in them.

Want me to check the exact stack height and weight from the product page?",True,,no policy tripwires fired,5.55
9,tracking,,low,policy_accuracy + information_gathering,"Hi, I want to know where my package is. Order #SM-89131",Let me check on order #SM-89131 for you â€” can you confirm the email address on the order?,True,,no policy tripwires fired,4.78
10,tracking,typo,low,policy_accuracy + information_gathering,trackking for 266361 please,"I'm sorry for the delay â€” let me look up order #266361 right now.

Can you share the email address on the order so I can pull it up?",True,,no policy tripwires fired,4.53
11,return_out_policy,multi_intent,high,policy_accuracy + escalation + tone,Can I still return SM-20458? It's been like 50 days and what about my other order SM-99999?,"That's frustrating â€” being past the 30-day return window means SM-20458 would need an exception, and I can't look up order SM-99999 without verification. Let me connect you with a teammate who can review both orders.",True,,no policy tripwires fired,4.92
12,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"I'd recommend sizing up â€” most customers between sizes prefer a bit of extra room for athletic shoes. Is this your first pair from us, or do you have a recent order I can look at?",True,,no policy tripwires fired,5.04
13,return_in_policy,,medium,policy_accuracy + information_gathering,"Can I return my order? It's SM-56566, unworn, 10 days old","Yes â€” order SM-56566 is within the 30-day return window and unworn, so you're good to return it. Would you like me to start the return process?",True,,no policy tripwires fired,4.79
14,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-89840,Hi! Let me pull up order #SM-89840 to check the status for you. One moment.,True,,no policy tripwires fired,4.41
15,return_in_policy,,medium,policy_accuracy + information_gathering,I'd like to return order SM-31417 - wrong color,I'd be happy to help with that return â€” could you share when the order was delivered so I can confirm it's within the 30-day window?,True,,no policy tripwires fired,4.88
16,return_in_policy,,medium,policy_accuracy + information_gathering,returning order SM-38785,"""I can help with that â€” could you let me know what's wrong with the order or whether you'd like a refund or an exchange?""",True,,no policy tripwires fired,4.55
17,return_out_policy,,high,policy_accuracy + escalation + tone,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refund. This is ridiculous. Order #SM-40021","I'm sorry you're dealing with this. Since the order is outside our 30-day return window, I'll need to connect you with a teammate who can review your request for order #SM-40021.",True,,no policy tripwires fired,5.15
18,sizing,,high,tone + information_gathering + escalation,I'm between sizes for the Sky Walker. Should I size up or down?,"Great question! For the Sky Walker, I'd recommend sizing **up** if you're between sizes â€” most customers prefer a little extra room for comfort. Could you let me know your usual size and whether you have a wider or narrower foot?",True,,no policy tripwires fired,4.76
19,tracking,,low,policy_accuracy + information_gathering,tracking for 51245 please,"""I can help with that. Let me look up tracking for order #51245 â€” could you confirm the email address on the order?""",True,,no policy tripwires fired,4.34
20,tracking,,low,policy_accuracy + information_gathering,order SM-28726 - when will it arrive?,I'd be happy to help with order SM-28726 â€” let me check the tracking details for you. Could you share the email address associated with the order so I can pull it up?,True,,no policy tripwires fired,4.47
21,tracking,,low,policy_accuracy + information_gathering,tracking for 80644 please,Happy to help â€” could you share the email address on the order so I can pull up tracking for #SM-80644?,True,,no policy tripwires fired,6.93
22,tracking,,low,policy_accuracy + information_gathering,tracking for 62350 please,Could you share your email or the shipping address on the order so I can pull it up?,True,,no policy tripwires fired,5.37
23,tracking,,low,policy_accuracy + information_gathering,Can you check the status of order SM-76784?,"""I can help with that. Could you share the email used on the order so I can pull it up?""",True,,no policy tripwires fired,4.54
24,return_in_policy,,medium,policy_accuracy + information_gathering,"I want to return these shoes, they're too small. Order #SM-30033",I'm sorry the fit isn't working out. Could you share the order email or last 4 digits of the card so I can pull up order #SM-30033 and start the return?,True,,no policy tripwires fired,4.83
25,return_in_policy,,medium,policy_accuracy + information_gathering,"Need to return shoes from order SM-88172, the size is off",I'd be happy to help with the return from order SM-88172. Can you confirm the date the order was delivered so I can verify it's within our 30-day return window?,True,,no policy tripwires fired,5.16
26,tracking,,low,policy_accuracy + information_gathering,order SM-79352 - when will it arrive?,I'd be happy to help â€” could you share the email associated with the order so I can pull up the tracking info?,True,,no policy tripwires fired,4.12
27,tracking,,low,policy_accuracy + information_gathering,hey where's my order? #SM-99166,Let me check on order #SM-99166 for you â€” can you confirm the email address on the order?,True,,no policy tripwires fired,4.65
28,return_out_policy,,high,policy_accuracy + escalation + tone,Can I still return SM-94012? It's been like 50 days,"That's outside our 30-day return window, so I can't process this one for you. Let me connect you with a teammate who can review your request for order #SM-94012.",True,,no policy tripwires fired,4.45
29,tracking,,low,policy_accuracy + information_gathering,Can you check the status of order SM-69470?,Could you share the email used on the order so I can pull it up?,False,empty_or_error=[OPENCODE TIMEOUT after 90s],empty or error response: [OPENCODE TIMEOUT after 90s],4.50
30,tracking,,low,policy_accuracy + information_gathering,"Hi, I want to know where my package is. Order #SM-75612","Let me check on that for you â€” one moment.
I don't have access to order tracking systems here â€” let me connect you with a teammate who can look up order #SM-75612.",True,,no policy tripwires fired,8.14
31,sizing,,high,tone + information_gathering + escalation,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm scared to order online again. What do you recommend?,"That sounds frustrating, and I'm sorry the last pairs didn't work out. A few quick questions: do you have a preferred width (medium, wide, extra-wide), and do you know which specific shoes you tried so I can suggest a different model?",True,,no policy tripwires fired,5.98
32,billing_dispute,,high,escalation + tone + information_gathering,I was charged $50 for shipping but my order SM-30032 said free shipping,That's frustrating. Let me connect you with a teammate who can review the $50 shipping charge on order #SM-30032.,True,,no policy tripwires fired,4.46
