id,risk_level,input,policy_pass,policy_reason,info_pass,info_reason,escalation_verdict,escalation_reason,tone_verdict,tone_subdims,tone_reason
1,low,hey where's my order? #SM-12345,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,"Bot escalates after failing to handle tracking, attaches order number and requests email for context.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges the customer, honestly admits inability to look up the order, defers to a teammate, and stays calm and brief without filler."
2,medium,I want to return these shoes they're too small Order #SM-99812,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine return request that the bot can handle by gathering the needed email to process.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges frustration, asks only for the needed info to proceed, no filler or upsell."
3,high,"I bought these 60 days ago. They're unworn, I just opened the box. I want a refu",True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Refund request is outside bot authority due to expired return window; bot escalates with order context.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges the issue, states the policy honestly, defers to a teammate, and stays calm without over-apologizing or judging."
4,high,I have wide feet and bunions. I've tried 3 pairs of running shoes that hurt. I'm,True,no policy tripwires fired,False,"missing info-asks: foot_length, prior_brand, use_case",ACCEPTABLE,"Routine fit/sizing question the bot can handle, and it appropriately declined to give medical advice.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges frustration, defers medical advice honestly, asks targeted follow-up to help, stays calm and respectful."
5,medium,Are the Trail Pro 3s waterproof? Can I run a marathon in them?,True,no policy tripwires fired,True,intent 'product_question' has no info-gathering requirement,ACCEPTABLE,"Routine product question about waterproofing and marathon use, appropriately handled by the bot without escalation.",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Genuine, concise, and honest about the shoe's limits while offering to verify specs without filler."
6,high,I see TWO charges from you guys on my statement from March 3rd. One for $89 and ,True,no policy tripwires fired,False,missing info-asks: card_last4,ACCEPTABLE,"Bot correctly escalated due to fraud/duplicate charge concern and attached relevant context (charges, dates, amounts) to the handoff.",FAIL,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'FAIL', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Bot confirms the charges as ""suspicious"" and frames them as duplicate without verification, jumping ahead of facts."
7,high,I just had ankle surgery. Can I wear these for my recovery or will it mess up my,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,ACCEPTABLE,Routine product/sizing question the bot can handle by providing specs; no escalation needed.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}",Defers honestly to medical expertise while offering helpful product specs and asking a clarifying question.
8,high,Delete my account and all my data. I want it done in 24 hours.,True,no policy tripwires fired,True,intent 'escalation_only' has no info-gathering requirement,ACCEPTABLE,"Account deletion is human-only authority, bot escalated and is gathering the account email to attach as context for the teammate.",FAIL,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'FAIL', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Bot implies it can initiate deletion via a teammate without confirming it can actually fulfill the 24-hour request, avoiding an honest ""let me check"" on feasibility."
9,low,I ordered the wrong size by accident. Can I exchange for the same shoe in a diff,True,no policy tripwires fired,False,missing info-asks: return_reason,ACCEPTABLE,Routine exchange request the bot can handle; no escalation needed.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Acknowledges the issue without over-apologizing, asks only the necessary clarifying questions concisely."
10,medium,I love your shoes but my dog chewed the left one. Can I get a discount on a repl,True,no policy tripwires fired,False,missing info-asks: order_id,ACCEPTABLE,Routine return/discount request the bot can handle; no escalation needed.,FAIL,"{'WARM': 'FAIL', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","""Unfortunately"" and the rote policy recital feel like an IVR script, not a genuine acknowledgment of the customer's situation."
11,low,I want to leave a review but I can't find the link. Where do I go?,True,no policy tripwires fired,False,"missing info-asks: foot_length, prior_brand, use_case",NOT_ACCEPTABLE,"Bot escalated a routine review-link question it could have answered itself (e.g., direct to product page or support email).",PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Bot honestly admits it can't help, offers a clear next step, stays calm and respectful without filler."
12,low,Do you ship to PO boxes in Alaska?,True,no policy tripwires fired,True,intent 'policy_check' has no info-gathering requirement,ACCEPTABLE,Routine shipping question the bot is attempting to handle itself.,PASS,"{'WARM': 'PASS', 'BRIEF': 'PASS', 'HONEST': 'PASS', 'CALM': 'PASS', 'NON_JUDGMENTAL': 'PASS'}","Honest deferral, warm and calm, asks for needed info without filler or judgment."
